order,orig_org_id,db_org_id,diff,base_org_id,suffix,diff2,db_org_id,db_sup_org_id
74,208-SCCO,208-SCCO,-,208-SCCO,5-CORPS.ARMY.MIL,-,208-SCCO,3-SUPCOM-HQ
75,27-TCBN-MVTCTRL,27-TCBN-MVTCTRL,-,27-TCBN-MVTCTRL,5-CORPS.ARMY.MIL,-,27-TCBN-MVTCTRL,3-SUPCOM-HQ
76,19-MMC,19-MMC,-,19-MMC,5-CORPS.ARMY.MIL,-,19-MMC,3-SUPCOM-HQ
77,16-CSG,16-CSG,-,16-CSG,5-CORPS.ARMY.MIL,-,16-CSG,3-SUPCOM-HQ
78,485-CSB,485-CSB,-,485-CSB,16-CSG.5-CORPS.ARMY.MIL,-,485-CSB,16-CSG
79,102-POL-SUPPLYCO,102-POL-SUPPLYCO,-,102-POL-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,-,102-POL-SUPPLYCO,485-CSB
80,596-MAINTCO,596-MAINTCO,-,596-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,-,596-MAINTCO,485-CSB
81,26-SSCO,26-SSCO,-,26-SSCO,16-CSG.5-CORPS.ARMY.MIL,-,26-SSCO,485-CSB
82,588-MAINTCO,588-MAINTCO,-,588-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,-,588-MAINTCO,485-CSB
83,592-ORDCO,592-ORDCO,-,592-ORDCO,16-CSG.5-CORPS.ARMY.MIL,-,592-ORDCO,485-CSB
84,18-MAINTBN,18-MAINTBN,-,18-MAINTBN,16-CSG.5-CORPS.ARMY.MIL,-,18-MAINTBN,16-CSG
85,77-MAINTCO,77-MAINTCO,-,77-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,-,77-MAINTCO,18-MAINTBN
86,226-MAINTCO,226-MAINTCO,-,226-MAINTCO,16-CSG.5-CORPS.ARMY.MIL,-,226-MAINTCO,18-MAINTBN
87,263-FLDSVC-CO,263-FLDSVC-CO,-,263-FLDSVC-CO,16-CSG.5-CORPS.ARMY.MIL,-,263-FLDSVC-CO,18-MAINTBN
88,227-SUPPLYCO,227-SUPPLYCO,-,227-SUPPLYCO,16-CSG.5-CORPS.ARMY.MIL,-,227-SUPPLYCO,18-MAINTBN
89,106-TCBN,106-TCBN,-,106-TCBN,16-CSG.5-CORPS.ARMY.MIL,-,106-TCBN,16-CSG
90,594-MDM-TRKCO,594-MDM-TRKCO,-,594-MDM-TRKCO,16-CSG.5-CORPS.ARMY.MIL,-,594-MDM-TRKCO,106-TCBN
91,372-CGO-TRANSCO,372-CGO-TRANSCO,-,372-CGO-TRANSCO,16-CSG.5-CORPS.ARMY.MIL,-,372-CGO-TRANSCO,106-TCBN
92,15-PLS-TRKCO,15-PLS-TRKCO,-,15-PLS-TRKCO,16-CSG.5-CORPS.ARMY.MIL,-,15-PLS-TRKCO,106-TCBN
93,238-POL-TRKCO,238-POL-TRKCO,-,238-POL-TRKCO,16-CSG.5-CORPS.ARMY.MIL,-,238-POL-TRKCO,106-TCBN
94,7-CSG,7-CSG,-,7-CSG,5-CORPS.ARMY.MIL,-,7-CSG,3-SUPCOM-HQ
95,71-MAINTBN,71-MAINTBN,-,71-MAINTBN,7-CSG.5-CORPS.ARMY.MIL,-,71-MAINTBN,7-CSG
96,240-SSCO,240-SSCO,-,240-SSCO,7-CSG.5-CORPS.ARMY.MIL,-,240-SSCO,71-MAINTBN
97,317-MAINTCO,317-MAINTCO,-,317-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,-,317-MAINTCO,71-MAINTBN
98,597-MAINTCO,597-MAINTCO,-,597-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,-,597-MAINTCO,71-MAINTBN
99,565-RPRPTCO,565-RPRPTCO,-,565-RPRPTCO,7-CSG.5-CORPS.ARMY.MIL,-,565-RPRPTCO,71-MAINTBN
100,71-ORDCO,71-ORDCO,-,71-ORDCO,7-CSG.5-CORPS.ARMY.MIL,-,71-ORDCO,71-MAINTBN
101,561-SSBN,561-SSBN,-,561-SSBN,7-CSG.5-CORPS.ARMY.MIL,-,561-SSBN,7-CSG
102,541-POL-TRKCO,541-POL-TRKCO,-,541-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,-,541-POL-TRKCO,561-SSBN
103,584-MAINTCO,584-MAINTCO,-,584-MAINTCO,7-CSG.5-CORPS.ARMY.MIL,-,584-MAINTCO,561-SSBN
104,406-SUPPLYCO,406-SUPPLYCO,-,406-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,-,406-SUPPLYCO,561-SSBN
105,181-TCBN,181-TCBN,-,181-TCBN,7-CSG.5-CORPS.ARMY.MIL,-,181-TCBN,7-CSG
106,377-HVY-TRKCO,377-HVY-TRKCO,-,377-HVY-TRKCO,7-CSG.5-CORPS.ARMY.MIL,-,377-HVY-TRKCO,181-TCBN
107,41-POL-TRKCO,41-POL-TRKCO,-,41-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,-,41-POL-TRKCO,181-TCBN
108,51-MDM-TRKCO,51-MDM-TRKCO,-,51-MDM-TRKCO,7-CSG.5-CORPS.ARMY.MIL,-,51-MDM-TRKCO,181-TCBN
109,316-POL-SUPPLYBN,316-POL-SUPPLYBN,-,316-POL-SUPPLYBN,7-CSG.5-CORPS.ARMY.MIL,-,316-POL-SUPPLYBN,7-CSG
110,900-POL-SUPPLYCO,900-POL-SUPPLYCO,-,900-POL-SUPPLYCO,7-CSG.5-CORPS.ARMY.MIL,-,900-POL-SUPPLYCO,316-POL-SUPPLYBN
111,515-POL-TRKCO,515-POL-TRKCO,-,515-POL-TRKCO,7-CSG.5-CORPS.ARMY.MIL,-,515-POL-TRKCO,316-POL-SUPPLYBN
