order,orig_org_id,base_org_id,suffix,,combat_support,echelon,echelon_group,"is_
deployable","has_
physical_
assets","has_
equipment_
assets","has_
personnel_
assets",uic,"home_
location"
62,11-AVN-RGT,11-AVN-RGT,5-CORPS.ARMY.MIL,,CBT,REGIMENT,Corps,Y,Y,Y,Y,WAAFAA,WJPV
63,12-AVNBDE,12-AVNBDE,5-CORPS.ARMY.MIL,,CBT,BRIGADE,Corps,Y,Y,Y,Y,WCYPAA,YRBU
64,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL,,CS,BRIGADE,Corps,Y,Y,Y,Y,WHDLAA,TGTK
65,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,,CS,BATTALION,Corps,Y,Y,Y,Y,WNAHAA,HDDL
66,244-ENGBN-CBTHVY,244-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,,CS,BATTALION,Corps,Y,Y,Y,Y,WS5DAA,FEQM
67,69-ADABDE,69-ADABDE,5-CORPS.ARMY.MIL,,CS,BRIGADE,Corps,Y,Y,Y,Y,WAVNAA,HWX3
68,286-ADA-SCCO,286-ADA-SCCO,5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WAYRAA,HCRL
69,18-MPBDE,18-MPBDE,5-CORPS.ARMY.MIL,,CSS,BRIGADE,Corps,Y,Y,Y,Y,WFPEAA,ECST
70,205-MIBDE,205-MIBDE,5-CORPS.ARMY.MIL,,CSS,BRIGADE,Corps,Y,Y,Y,Y,WH8HAA,YXVX
71,30-MEDBDE,30-MEDBDE,5-CORPS.ARMY.MIL,,CSS,BRIGADE,Corps,Y,Y,Y,Y,WBG7AA,KKLE
72,22-SIGBDE,22-SIGBDE,5-CORPS.ARMY.MIL,,CSS,BRIGADE,Corps,Y,Y,Y,Y,WCDWAA,EARZ
73,3-SUPCOM-HQ,3-SUPCOM-HQ,5-CORPS.ARMY.MIL,,CSS,DIVISION,Corps,Y,Y,Y,Y,WBG0AA,YRBU
74,208-SCCO,208-SCCO,5-CORPS.ARMY.MIL,,CSS,COMPANY,Corps,Y,Y,Y,Y,WCF0AA,HCRL
75,27-TCBN-MVTCTRL,27-TCBN-MVTCTRL,5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WCPPAA,YRBU
76,19-MMC,19-MMC,5-CORPS.ARMY.MIL,,CSS,GROUP,Corps,Y,Y,Y,Y,WH3FAA,YXUR
77,16-CSG,16-CSG,5-CORPS.ARMY.MIL,,CSS,GROUP,Corps,Y,Y,Y,Y,WC9GAA,LGKU
78,485-CSB,485-CSB,16-CSG.5-CORPS.ARMY.MIL,,CSS,BATTALION,Corps,Y,Y,Y,Y,WB0UAA,LGKU
