society_id,orig_org_id,base_org_id,suffix
FULL-1AD-TRANS-STUB,FORSCOM,FORSCOM,MIL
FULL-1AD-TRANS-STUB,HNS,HNS,MIL
FULL-1AD-TRANS-STUB,JSRCMDSE,JSRCMDSE,NATO.GOV
FULL-1AD-TRANS-STUB,NATO,NATO,GOV
FULL-1AD-TRANS-STUB,NCA,OSD,GOV
FULL-1AD-TRANS-STUB,OSC,OSC,MIL
FULL-1AD-TRANS-STUB,RSA,RSA,21-TSC.ARMY.MIL
FULL-1AD-TRANS-STUB,TRANSCOM-STUB,TRANSCOM-STUB,MIL
FULL-1AD-TRANS-STUB,USAEUR,USAEUR,MIL
FULL-1AD-TRANS-STUB,USEUCOM,USEUCOM,MIL
