order,orig_org_id,base_org_id,suffix,org_name,combat_support,echelon,echelon_group,is_ua,is_deployable,has_physical_assets,has_equipment_assets,has_personnel_assets,uic,home_location
85,1-27-FABN,1-27-FABN,5-CORPS.ARMY.MIL,1-27-FABN,CS,BATTALION,Corps,N,Y,Y,Y,Y,WAKRAA,ASYB
86,3-13-FABN-155,3-13-FABN-155,5-CORPS.ARMY.MIL,3-13-FABN-155,CS,BATTALION,Corps,N,Y,Y,Y,Y,WG1DAA,HKNN
87,5-CORPS-REAR,CORPS-REAR,5-CORPS.ARMY.MIL,5-CORPS-REAR,CMD,DIVISION,Corps,N,N,N,N,N,,CYWK
88,11-AVN-RGT,11-AVN-RGT,5-CORPS.ARMY.MIL,11-AVN-RGT,CBT,REGIMENT,Corps,N,Y,Y,Y,Y,WAAFAA,WJPV
89,12-AVNBDE,12-AVNBDE,5-CORPS.ARMY.MIL,12-AVNBDE,CBT,BRIGADE,Corps,N,Y,Y,Y,Y,WCYPAA,YRBU
90,130-ENGBDE,130-ENGBDE,5-CORPS.ARMY.MIL,130-ENGBDE,CS,BRIGADE,Corps,N,Y,Y,Y,Y,WHDLAA,TGTK
91,52-ENGBN-CBTHVY,52-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,52-ENGBN-CBTHVY,CS,BATTALION,Corps,N,Y,Y,Y,Y,WNAHAA,HDDL
92,244-ENGBN-CBTHVY,244-ENGBN-CBTHVY,5-CORPS.ARMY.MIL,244-ENGBN-CBTHVY,CS,BATTALION,Corps,N,Y,Y,Y,Y,WS5DAA,FEQM
93,69-ADABDE,69-ADABDE,5-CORPS.ARMY.MIL,69-ADABDE,CS,BRIGADE,Corps,N,Y,Y,Y,Y,WAVNAA,HWX3
94,286-ADA-SCCO,286-ADA-SCCO,5-CORPS.ARMY.MIL,286-ADA-SCCO,CSS,COMPANY,Corps,N,Y,Y,Y,Y,WAYRAA,HCRL
95,18-MPBDE,18-MPBDE,5-CORPS.ARMY.MIL,18-MPBDE,CSS,BRIGADE,Corps,N,Y,Y,Y,Y,WFPEAA,ECST
96,205-MIBDE,205-MIBDE,5-CORPS.ARMY.MIL,205-MIBDE,CSS,BRIGADE,Corps,N,Y,Y,Y,Y,WH8HAA,YXVX
97,30-MEDBDE,30-MEDBDE,5-CORPS.ARMY.MIL,30-MEDBDE,CSS,BRIGADE,Corps,N,Y,Y,Y,Y,WBG7AA,KKLE
