society_id,orig_org_id,base_org_id,suffix,equip_type_id,quantity
160a208v-ln.member,1-CA-BN-RECON-DET-1-PLT,1-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
160a208v-ln.member,1-CA-BN-RECON-DET-2-PLT,2-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-RECON-DET-2-PLT,2-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
160a208v-ln.member,1-CA-BN-RECON-DET-3-PLT,3-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-RECON-DET-3-PLT,3-PLT,RECON-DET.1-CABN.1-UA.ARMY.MIL,FCS-ARV-R,1
160a208v-ln.member,1-CA-BN-MORTAR-BTY-HQ,BTY-HQ,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-MORTAR-BTY-1-PLT,1-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-MORTAR-BTY-1-PLT,1-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL,NLOS-Mortar,4
160a208v-ln.member,1-CA-BN-MORTAR-BTY-2-PLT,2-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,1-CA-BN-MORTAR-BTY-2-PLT,2-PLT,MORTAR-BTY.1-CABN.1-UA.ARMY.MIL,NLOS-Mortar,4
160a208v-ln.member,2-CA-BN-MCG,MCG,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-MCG,MCG,2-CABN.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,2-CA-BN-TACP,TACP,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-TACP,TACP,2-CABN.1-UA.ARMY.MIL,FCS-ICV,1
160a208v-ln.member,2-CA-BN-TACP,TACP,2-CABN.1-UA.ARMY.MIL,FCS-C2V,3
160a208v-ln.member,2-CA-BN-MED-PLT-HQ,MED-PLT-HQ,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-MED-PLT-HQ,MED-PLT-HQ,2-CABN.1-UA.ARMY.MIL,FCS-C2V,1
160a208v-ln.member,2-CA-BN-MED-PLT-TREATMENT-SQUAD,MED-PLT-TREATMENT-SQUAD,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-MED-PLT-EVAC-SECTION,MED-PLT-EVAC-SECTION,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-SUPPORT-SECTION,SUPPORT-SECTION,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-SUPPORT-SECTION,SUPPORT-SECTION,2-CABN.1-UA.ARMY.MIL,FCS-ARV-A,6
160a208v-ln.member,2-CA-BN-CO-HQ-SECTION,CO-HQ-SECTION,2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-INF-CO-A-HQ,CO-HQ,INFCO-A.2-CABN.1-UA.ARMY.MIL,,
160a208v-ln.member,2-CA-BN-INF-CO-A-HQ,CO-HQ,INFCO-A.2-CABN.1-UA.ARMY.MIL,FCS-C2V,2
160a208v-ln.member,2-CA-BN-INF-CO-A-1-PLT,1-PLT,INFCO-A.2-CABN.1-UA.ARMY.MIL,,
